List_Number,Name,Category,Type,MW,Density,Temperature,Refractive_Index,Melting_Point,Pressure,Boiling_Point,Dielectric_Constant
824,Dibutyl Oxalate,ester,None,202.25,0.9873,20,1.4234,-30.5,773,242,0
825,Diethy Adipate,ester,None,202.25,1.0076,20,1.4272,-19.8,760,245,0
826,Pentachloroethane,alkane,None,202.3,1.6881,15,1.5054,-29,0,162,3.73
827,"1,1,2,2-Tetrachloro Difluoro Ethane",alkane,None,203.83,1.6252,35,1.4083,26,0,92.8,2.52
828,Iodobenzene,aromatic,None,204.01,1.823,25,1.6197,-31.4,0,189,0
829,"N,N-Dibutyl Aniline",other,None,205.34,0.9037,20,1.5186,-32.2,760,274.8,0
830,1-Bromonaphthalene,alkene,None,207.08,1.4834,20,1.658,6.2,0,281.1,4.83
831,1-Bromononane,alkane,None,207.16,1.0851,25,1.452,0,5,84,0
832,2-Bromononane,alkane,None,207.16,1.081,0,1.4519,0,767,208.5,0
833,"1,10-Dichlorodecane",alkane,None,211.18,0.9938,0,1.46,0,0,148,0
834,Benzyl Benzoate,ester,None,212.25,1.1121,25,1.5681,19.4,0,323.5,4.9
835,N-Pentadecane,alkane,None,212.41,0.7689,0,1.4315,10,0,270.5,0
836,3-Bromopropyl Phenyl Ether,ether,None,215.1,1.365,16,0,11,18,127,0
837,2-Nitro-Diphenyl Ether,ether,None,215.21,1.2539,22,1.575,-20,8,184,0
838,"1,2-Dibromobutane",alkane,None,215.94,1.795,0,1.55,0,0,166.3,0
839,"1,4-Dibromobutane",alkane,None,215.94,1.808,0,1.5175,-26,0,197.5,0
840,"2,3-Dibromobutane",alkane,None,215.94,1.783,0,1.5133,-70.3,0,161,0
841,"1,2-Dibromo-2-Methyl Propane",alkane,None,215.94,1.759,20,1.509,10.5,760,150,0
842,Methylene Iodide,other,None,217.87,3.3254,0,1.7559,6,0,181,0
843,"2,3-Dibromo-1-Propanol",alcohol,None,217.9,2.0739,20,1.5466,0,17,118,0
844,o-Iodotoluene,aromatic,None,218.05,1.713,0,1.609,0,0,211.5,0
845,Glycerol Triacetate,ester,None,218.21,1.1562,20,1.5064,3.2,0,259,0
846,Pentaethyl Benzene,aromatic,None,218.37,0.8985,19,1.5127,-20,0,277,0
847,Isobutyl Trichloro Acetate,ester,None,219.5,1.255,25,1.4456,0,0,188,0
848,Tetraglycol Dimethyl Ether,ether,None,222.29,1.0132,20,1.4336,-21.4,760,275.8,0
849,1-Hexadecene,alkene,None,224.42,0.7825,0,1.4441,4,0,155,0
850,2-Chloroethyl Trichloro Acetate,ester,None,225.89,1.5357,20,1.4813,0,766,217,0
851,Trichloroacetyl Bromide,other,None,226.29,2.1,15,0,0,760,143,0
852,Tri-N-Pentylamine,amine,None,227.44,0.7907,20,1.4367,-70,0,242.5,0
853,Dibutyl Maleate,ester,None,228.29,0.995,20,1.4454,-80,0,280,0
854,"1,5-Dibromo Pentane",alkane,None,229.96,1.706,18,1.5091,-39.5,0,222.2,0
855,Tributyl Borate,ester,None,230.16,0.858,20,1.4092,-70,0,233.5,0
856,Diisopropyl Adipate,ester,None,230.31,0.9659,20,1.4247,-1.1,6,120,0
857,Dipropyl Adipate,ester,None,230.31,0.979,20,1.4314,-15.7,11,151,0
858,Diphenyl Selenide,other,None,233.17,1.351,20,1.65,2.5,760,301.5,0
859,Tetraethyl Tin,other,None,234.94,1.187,23,1.4724,-112,0,181,0
860,o-Dibromobenzene,aromatic,None,235.92,1.9557,0,1.6081,6.7,0,221,0
861,m-Dibromobenzene,aromatic,None,235.92,1.9523,0,1.6083,-7,0,220,0
862,1-Iodo Octane,alkane,None,240.14,1.3297,0,1.489,-45.7,0,255.5,0
863,"1,2-Dibromohexane",alkane,None,243.99,1.5872,15,1.5012,0,16,287,0
864,Diethyl Acetate,ester,None,244.33,0.9729,20,1.4351,-18.5,0,291.5,0
865,Trichloroiodomethane,alkane,None,245.3,2.365,0,1.5854,-19,0,142,0
866,4-Bromo-Diphenyl Ether,ether,None,249.11,1.4225,19,1.6088,18,0,305,0
867,Benzal Bromide,other,None,249.95,1.51,0,1.6147,0,0,140,0
868,Tribromo Acetaldehyde,aldehyde,None,250.76,2.665,25,1.5939,0,760,174,0
869,Bromoform,other,None,252.76,2.8889,20,1.5976,8.1,0,149.6,4.39
870,1-Iodo Naphthalene,alkene,None,254.07,1.7399,20,1.7026,4.2,0,302,0
871,Dibutyl Adipate,ester,None,258.35,0.9652,0,1.4369,-37,14,183,0
872,Dibutyl Adipate,ester,None,258.36,0.9652,20,1.4369,-37,4,145,0
873,Diethyl Sebacate,ester,None,258.36,0.9646,20,1.4359,5,773,306,0
